Type;Date;DebutGaranti;DureeGaranti;EtatGaranti;EtatSante;Id
7;1;1;97977600;2;3;1
7;1;1;97977600;2;3;2
7;1;1;97977600;2;3;3
7;1;1;97977600;2;9;4
8;1;1;97977600;2;3;5
8;1;1;97977600;2;3;6
8;1;1;97977600;2;3;7
8;1;1;97977600;2;3;8
9;1;1;163296000;2;3;9
9;1;1;163296000;2;3;10
1;1;1;65318400;3;2;10
1;1;1;65318400;3;2;12
1;1;1;65318400;3;2;13
1;1;1;65318400;3;2;14
4;1;1;65318400;3;2;15
4;1;1;65318400;3;2;16
4;1;1;65318400;3;2;17
4;1;1;65318400;3;2;18
5;1;1;65318400;3;2;19
5;1;1;65318400;3;2;20
5;1;1;65318400;3;2;21
5;1;1;65318400;3;2;22
6;1;1;65318400;3;2;23
6;1;1;65318400;3;2;24
6;1;1;65318400;3;2;25
6;1;1;65318400;3;2;26
0;1;1;32659200;template;template;27
